TIME	Aqua: aCC(=O)C(=O)ON(=O)=O + [aH2O] -> aCC(=O)C(=O)O + H	other sources	Gas: CC(=O)C(=O)O -> CC(=O)O[O] + HO2	Aqua: aCC(=O)C(=O)[O-] + aH2O2 -> aCO2 + aCC(=O)[O-] + [	Aqua: aCC(=O)C(=O)O + aH2O2 -> aCO2 + aCC(=O)O + [aH2O]	Aqua: aCC(=O)C(=O)[O-] + aHO -> aO=C([O-])C(=O)[C] + [aH	other sinks
52.1944	2.93162E-15	3.54984E-15	0	-2.44891E-15	-6.52496E-16	-6.82711E-17	-2.5002E-15
52.3611	2.97414E-15	3.55282E-15	0	-2.5667E-15	-6.81727E-16	-7.06469E-17	-2.49663E-15
52.5278	3.01675E-15	3.55602E-15	0	-2.68514E-15	-7.1062E-16	-7.30374E-17	-2.49321E-15
52.6944	3.05942E-15	3.55941E-15	0	-2.80403E-15	-7.39175E-16	-7.54365E-17	-2.48987E-15
52.8611	3.10214E-15	3.56298E-15	0	-2.92322E-15	-7.67392E-16	-7.78394E-17	-2.48658E-15
53.0278	0	3.56606E-15	-3.44814E-17	0	-7.95299E-16	0	-1.32363E-15
53.1944	3.09663E-15	3.5452E-15	-4.21158E-16	-3.17515E-15	-8.25315E-16	-9.52653E-17	-1.80274E-15
53.3611	3.11928E-15	3.54939E-15	-1.12798E-15	-3.37983E-15	-8.71656E-16	-1.37075E-16	-1.44079E-15
53.5278	3.30134E-15	3.59355E-15	-1.92068E-15	-3.66938E-15	-9.38526E-16	-1.77309E-16	-1.23879E-15
53.6944	3.57148E-15	3.68327E-15	-2.68605E-15	-3.98612E-15	-1.01095E-15	-2.07897E-16	-1.12079E-15
53.8611	3.89314E-15	3.79995E-15	-3.38622E-15	-4.30191E-15	-1.20503E-15	-2.3811E-16	-9.50878E-16
54.0278	4.28686E-15	3.94654E-15	-4.0136E-15	-4.62165E-15	-1.1542E-15	-2.75003E-16	-1.05499E-15
54.1944	4.78565E-15	4.12884E-15	-4.57171E-15	-4.95911E-15	-1.22965E-15	-3.19995E-16	-1.0871E-15
54.3611	5.40478E-15	4.34884E-15	-5.06776E-15	-5.3232E-15	-1.31092E-15	-3.71464E-16	-1.14601E-15
54.5278	6.14278E-15	4.60547E-15	-5.50959E-15	-5.71733E-15	-1.39883E-15	-4.27971E-16	-1.22331E-15
54.6944	6.9919E-15	4.89678E-15	-5.90453E-15	-6.14265E-15	-1.49362E-15	-4.8881E-16	-1.31451E-15
54.8611	7.9442E-15	5.22093E-15	-6.25911E-15	-6.59988E-15	-1.59541E-15	-5.53669E-16	-1.41717E-15
55.0278	8.99324E-15	5.57638E-15	-6.57896E-15	-7.08978E-15	-1.70431E-15	-6.22376E-16	-1.52977E-15
55.1944	1.01342E-14	5.96184E-15	-6.86896E-15	-7.61324E-15	-1.82048E-15	-6.94816E-16	-1.65125E-15
55.3611	1.13634E-14	6.37613E-15	-7.13327E-15	-8.17127E-15	-1.94411E-15	-7.70895E-16	-1.78082E-15
55.5278	1.26784E-14	6.81816E-15	-7.37551E-15	-8.765E-15	-2.07543E-15	-8.50536E-16	-1.91789E-15
55.6944	1.40772E-14	7.28682E-15	-7.59879E-15	-9.39566E-15	-2.21468E-15	-9.33673E-16	-2.062E-15
55.8611	1.55583E-14	7.78098E-15	-7.80578E-15	-1.00645E-14	-2.36215E-15	-1.02024E-15	-2.21276E-15
56.0278	1.71204E-14	8.29943E-15	-7.99882E-15	-1.07731E-14	-2.51813E-15	-1.1102E-15	-2.36986E-15
56.1944	1.8762E-14	8.84089E-15	-8.17997E-15	-1.15227E-14	-2.68292E-15	-1.20348E-15	-2.53306E-15
56.3611	2.04819E-14	9.40401E-15	-8.35099E-15	-1.23149E-14	-2.85685E-15	-1.30004E-15	-2.70212E-15
