TIME	Aqua: aN2O5 -> NO2p + NO3m	Aqua: NO2p + [aH2O] -> NO3m + Hp	Gas: OH + NO2 -> HNO3	Aqua: aHNO4 + HSO3m -> HSO4m + Hp + NO3m	other sources	other sinks
56.5278	1.39642E-13	1.39642E-13	7.35689E-13	5.48077E-16	7.21681E-14	-5.50689E-14
56.6944	1.38073E-13	1.38073E-13	7.80143E-13	5.75501E-16	7.71824E-14	-5.84385E-14
56.8611	1.36626E-13	1.36626E-13	8.23047E-13	6.02661E-16	8.23944E-14	-6.17324E-14
57.0278	1.35281E-13	1.35281E-13	8.64093E-13	6.29435E-16	8.77758E-14	-6.49378E-14
57.1944	1.34017E-13	1.34017E-13	9.02997E-13	6.55704E-16	9.32971E-14	-6.80427E-14
57.3611	1.32821E-13	1.32821E-13	9.39506E-13	6.81354E-16	9.8928E-14	-7.10357E-14
57.5278	1.31681E-13	1.31681E-13	9.73402E-13	7.06274E-16	1.04638E-13	-7.39057E-14
57.6944	1.3059E-13	1.3059E-13	1.00451E-12	7.30361E-16	1.10395E-13	-7.66426E-14
57.8611	1.29542E-13	1.29542E-13	1.03268E-12	7.53518E-16	1.1617E-13	-7.92368E-14
58.0278	1.28533E-13	1.28533E-13	1.05783E-12	7.75658E-16	1.21932E-13	-8.16791E-14
58.1944	1.27562E-13	1.27562E-13	1.07989E-12	7.96705E-16	1.27655E-13	-8.39613E-14
58.3611	1.26631E-13	1.26631E-13	1.09884E-12	8.14886E-16	1.33219E-13	-8.60754E-14
58.5278	1.25736E-13	1.25736E-13	1.1147E-12	8.35259E-16	1.38871E-13	-8.80145E-14
58.6944	1.24884E-13	1.24884E-13	1.12751E-12	8.52663E-16	1.44316E-13	-8.97721E-14
58.8611	1.24079E-13	1.24079E-13	1.13734E-12	8.68773E-16	1.49623E-13	-9.13424E-14
59.0278	1.23324E-13	1.23324E-13	1.14431E-12	8.83562E-16	1.5477E-13	-9.27204E-14
59.0833	1.23037E-13	1.23037E-13	1.14631E-12	8.89221E-16	1.56767E-13	-9.32168E-14
59.25	1.83514E-13	1.83514E-13	8.96445E-13	7.62286E-15	2.23084E-13	-7.28191E-14
59.3333	1.36534E-13	1.36534E-13	1.48768E-13	3.08682E-13	6.32947E-13	-7.81938E-14
59.5	1.56239E-13	1.56239E-13	1.51307E-13	3.38517E-13	4.24958E-13	-7.72916E-14
59.6667	1.62474E-13	1.62474E-13	1.55961E-13	3.83985E-13	3.79147E-13	-7.61298E-14
59.8333	1.67183E-13	1.67183E-13	1.60358E-13	4.19021E-13	3.63442E-13	-7.59299E-14
60	1.71491E-13	1.71491E-13	1.64513E-13	4.52045E-13	3.56803E-13	-7.57855E-14
60.1667	1.75577E-13	1.75577E-13	1.68322E-13	4.83019E-13	3.53465E-13	-7.55895E-14
60.3333	1.79519E-13	1.79519E-13	1.71675E-13	5.10739E-13	3.51296E-13	-7.5315E-14
60.5	1.83376E-13	1.83376E-13	1.74492E-13	5.34331E-13	3.49332E-13	-7.49392E-14
60.6389	1.86052E-13	1.86052E-13	1.76113E-13	5.48177E-13	3.47818E-13	-7.46065E-14
60.8056	1.54267E-13	1.54267E-13	1.08189E-12	2.43105E-15	1.38724E-13	-7.28324E-14
60.8889	1.40488E-13	1.40488E-13	1.28812E-12	1.39888E-15	1.24171E-13	-8.06567E-14
61.0556	1.44883E-13	1.44883E-13	1.27151E-12	1.01317E-15	1.25046E-13	-8.44443E-14
61.2222	1.45126E-13	1.45126E-13	1.25487E-12	8.37987E-16	1.26772E-13	-8.61513E-14
61.3889	1.4556E-13	1.4556E-13	1.23401E-12	7.45074E-16	1.28208E-13	-8.72426E-14
61.5556	1.46228E-13	1.46228E-13	1.20976E-12	6.36764E-16	1.30477E-13	-8.76798E-14
61.7222	1.47073E-13	1.47073E-13	1.18284E-12	5.83062E-16	1.32425E-13	-8.74717E-14
61.8889	1.48129E-13	1.48129E-13	1.15379E-12	5.45968E-16	1.34271E-13	-8.66651E-14
62.0556	1.49412E-13	1.49412E-13	1.12298E-12	5.19793E-16	1.35947E-13	-8.53276E-14
62.2222	1.50937E-13	1.50937E-13	1.09071E-12	5.00963E-16	1.374E-13	-8.35337E-14
62.3889	1.52727E-13	1.52727E-13	1.05719E-12	4.87095E-16	1.386E-13	-8.13545E-14
62.5556	1.54804E-13	1.54804E-13	1.02261E-12	4.76469E-16	1.39524E-13	-7.88532E-14
62.7222	1.57194E-13	1.57194E-13	9.8709E-13	4.67949E-16	1.40159E-13	-7.60834E-14
62.8889	1.59926E-13	1.59926E-13	9.50737E-13	4.60707E-16	1.40496E-13	-7.30899E-14
63.0556	1.63033E-13	1.63033E-13	9.13629E-13	4.54156E-16	1.40536E-13	-6.99092E-14
63.2222	1.66556E-13	1.66556E-13	8.75825E-13	4.4788E-16	1.4028E-13	-6.65727E-14
63.3889	1.70539E-13	1.70539E-13	8.37368E-13	4.41571E-16	1.39738E-13	-6.3107E-14
63.5556	1.75036E-13	1.75036E-13	7.98293E-13	4.35008E-16	1.3892E-13	-5.95354E-14
63.7222	1.80109E-13	1.80109E-13	7.58625E-13	4.28029E-16	1.37842E-13	-5.58791E-14
63.8889	1.85835E-13	1.85835E-13	7.18388E-13	4.20512E-16	1.36522E-13	-5.21589E-14
64.0556	1.92306E-13	1.92306E-13	6.77604E-13	4.12368E-16	1.34983E-13	-4.83938E-14
