TIME	Aqua: HSO3m + aH2O2 + Hp -> SO4mm + Hp + [aH2O]	Aqua: SO3mm + aO3 -> SO4mm + aO2	Aqua: HSO5m + HSO3m + Hp -> SO4mm + Hp	Aqua: aHNO4 + HSO3m -> HSO4m + Hp + NO3m	Gas: HSO3 -> HO2 + SULF	other sources	other sinks
58.1944	7.90604E-14	2.68546E-20	1.91819E-20	7.96705E-16	2.30271E-13	3.22916E-15	-2.49153E-15
58.3611	8.33829E-14	0	0	8.16591E-16	2.37133E-13	3.26047E-15	-2.52599E-15
58.5278	8.78258E-14	2.71842E-20	2.17474E-20	8.35258E-16	2.43499E-13	3.32354E-15	-2.56054E-15
58.6944	9.2371E-14	2.76141E-20	2.24365E-20	8.52663E-16	2.49346E-13	3.37155E-15	-2.59564E-15
58.8611	9.70139E-14	2.80188E-20	2.35158E-20	8.68773E-16	2.54652E-13	3.41978E-15	-2.63091E-15
59.0278	1.01745E-13	2.8106E-20	2.45927E-20	8.83562E-16	2.59401E-13	3.46803E-15	-2.66617E-15
59.0833	1.0366E-13	0	0	8.89104E-16	2.61141E-13	3.48597E-15	-2.67913E-15
59.25	6.53603E-13	2.28334E-19	2.65183E-19	9.4749E-15	2.14144E-13	4.67749E-15	-1.85603E-15
59.3333	3.52041E-12	7.43986E-12	3.07723E-13	3.08682E-13	3.13439E-14	2.93342E-12	-1.72437E-15
59.5	5.7445E-12	2.67005E-12	4.79982E-14	3.38517E-13	2.44232E-14	7.42252E-13	-2.53482E-15
59.6667	7.49678E-12	9.35376E-13	2.27619E-14	3.83985E-13	2.36988E-14	4.09823E-13	-2.68036E-15
